order_id,customer_id,product_id,product_category,order_date,quantity,unit_price,total_price,region
1,CUST015796,PROD0111,Books,2023-02-15,4,642.34,2569.36,South
2,CUST000861,PROD0142,Home,2023-12-02,1,337.05,337.05,South
3,CUST076821,PROD0007,Clothing,2024-09-27,2,763.14,1526.28,East
4,CUST054887,PROD0077,Books,2023-01-20,1,194.33,194.33,South
5,CUST006266,PROD0001,Clothing,2024-02-10,4,458.94,1835.76,South
6,CUST082387,PROD0148,Electronics,2024-12-06,2,257.95,515.9,South
7,CUST037195,PROD0081,Electronics,2023-12-17,4,542.23,2168.92,North
8,CUST087499,PROD0115,Clothing,2023-12-19,2,412.22,824.44,South
9,CUST044132,PROD0032,Clothing,2024-06-06,2,281.95,563.9,West
10,CUST060264,PROD0088,Clothing,2024-06-01,2,528.94,1057.88,South
11,CUST016024,PROD0192,Electronics,2023-02-11,2,501.27,1002.54,North
12,CUST041091,PROD0155,Books,2023-02-12,5,539.36,2696.8,South
13,CUST067222,PROD0014,Home,2023-10-27,4,307.29,1229.16,East
14,CUST064821,PROD0126,Books,2023-06-09,4,319.55,1278.2,East
15,CUST000770,PROD0013,Electronics,2024-11-18,4,322.86,1291.44,South
16,CUST059736,PROD0108,Clothing,2024-01-01,2,281.77,563.54,North
17,CUST062956,PROD0184,Electronics,2023-02-04,2,302.17,604.34,West
18,CUST064926,PROD0109,Home,2023-01-30,4,657.74,2630.96,South
19,CUST067970,PROD0198,Clothing,2023-12-12,1,112.99,112.99,North
20,CUST005312,PROD0200,Home,2024-08-08,4,386.75,1547,North
21,CUST083105,PROD0051,Electronics,2024-04-22,5,416.72,2083.6,South
22,CUST053708,PROD0003,Books,2024-12-10,3,509.32,1527.96,South
23,CUST085306,PROD0145,Home,2024-01-30,1,521.3,521.3,East
24,CUST028694,PROD0088,Electronics,2023-04-29,4,109.52,438.08,North
25,CUST071933,PROD0173,Books,2023-12-05,1,459.51,459.51,South
26,CUST093017,PROD0047,Clothing,2023-07-13,2,116.17,232.34,West
27,CUST025659,PROD0009,Clothing,2023-10-14,4,140.09,560.36,North
28,CUST084479,PROD0064,Home,2024-03-16,3,348.25,1044.75,North
